phrase,meaning
Hu Gul,The prefix signifies that the block following is to be executed in back stance.
Ha Dan Mahk Kee,Low Block
Sang Dan Mahk Kee,High Block
Ahn Ye Seo Bahk Euro Mahk Kee,Inside to outside block
Bahk Ye Seo Ahn Euro Mahk Kee,Outside to inside block
Tro Ahn Ye Seo Bahk Euro Mahk Kee,Reverse inside to outside block
Tro Bahk Ye Seo Ahn Euro Mahk Kee,Reverse outside to inside block
Sang Soo Joong Dan Mahk Kee,Two fist middle block
Sang Soo Ha Dan Mahk Kee,Two fist(X) low block
Sang Soo Sang Dan Mahk Kee,Two fist(X) high block
Soo Do Ha Dan Mahk Kee,Low section knife hand block
Soo Do Sang Dan Mahk Kee,High section knife hand block
Soo Do Joong Dan Mahk Kee,Middle section knife hand block
