phrase,meaning
Ap Cha Kee,Front kick
Ap Podo Cha Kee,Front snap kick
Ap Mee Ro Cha Kee,Front pushing kick
Yup Cha Kee,Side kick
Yup Podo Cha Kee,Side snap kick
Dull Ryo Cha Kee,Round-house kick
Dwee Cha Kee,Back kick
Dwee Dull Ryo Cha Kee,Spinning Back kick
Dwee Dull Ryo Chit-Go Cha Kee,Back Spinning Chop Kick
Ahn Ye Seo Bahk Euro Cha Kee,Circular inside to outside kick
Bahk Ye Seo Ahn Euro Cha Kee,Circular outside to inside kick
Bahk Ye Seo Ahn Euro Ma-Go Cha Kee,Circular outside to inside block kick
Yup Hu Ri Kee,Side hook kick
Chit Bal Kee,Stamping kick
Bahl Yup Chit Pal Kee,Side Stamping Kick
Moo Roop Cha Kee,Knee kick
Moo Roop Dull Ryo Cha Kee,Knee turning round house kick
Peet Cha Kee,Diagonal inside to outside snap kick
E Dan,Jumping (all jumping kicks start with this term)
